0 139
-2361.331787 -535.385986 -358.774902
-2361.332275 -535.385986 -358.762512
-2361.360107 -535.385986 -358.315033
-2361.335693 -535.385986 -357.817596
-2361.352051 -535.385986 -357.623993
-2361.377930 -535.385986 -357.316071
-2361.384277 -535.385986 -356.812439
-2361.394775 -535.385986 -356.307800
-2361.393555 -535.385986 -356.278534
-2361.412842 -535.385986 -355.804932
-2361.404541 -535.385986 -355.294678
-2361.412354 -535.385986 -354.790253
-2361.412109 -535.385986 -354.297272
-2361.412598 -535.385986 -354.275757
-2361.403809 -535.385986 -353.772095
-2361.413086 -535.385986 -353.271545
-2361.412598 -535.385986 -352.759583
-2361.417236 -535.385986 -352.257263
-2361.419678 -535.385986 -351.885803
-2361.420898 -535.385986 -351.753052
-2361.426758 -535.385986 -351.251923
-2361.426758 -535.385986 -350.740906
-2361.427490 -535.385986 -350.233765
-2361.426514 -535.385986 -349.731842
-2361.431396 -535.385986 -349.231689
-2361.433105 -535.385986 -348.721436
-2361.432617 -535.385986 -348.706909
-2361.437012 -535.385986 -348.218384
-2361.429199 -535.385986 -347.706573
-2361.420410 -535.385986 -347.480835
-2361.414307 -535.385986 -347.204681
-2361.413818 -535.385986 -346.704315
-2361.412842 -535.385986 -346.201050
-2361.404297 -535.385986 -345.698761
-2361.404297 -535.385986 -345.189697
-2361.405273 -535.385986 -344.675751
-2361.406250 -535.385986 -344.174622
-2361.398193 -535.385986 -343.663605
-2361.404541 -535.385986 -343.255890
-2361.403320 -535.385986 -343.150665
-2361.406006 -535.385986 -342.642365
-2361.393555 -535.385986 -342.129974
-2361.391846 -535.385986 -341.621307
-2361.383057 -535.385986 -341.110474
-2361.379639 -535.385986 -340.610107
-2361.384521 -535.385986 -340.102020
-2361.381592 -535.385986 -339.591980
-2361.378906 -535.385986 -339.088318
-2361.383057 -535.385986 -338.736603
-2361.386963 -535.385986 -338.576141
-2361.385254 -535.385986 -338.075378
-2361.385498 -535.385986 -337.569794
-2361.388672 -535.385986 -337.062866
-2361.386719 -535.385986 -336.555725
-2361.386963 -535.385986 -336.053223
-2361.386963 -535.385986 -335.552094
-2361.390625 -535.385986 -335.040497
-2361.393555 -535.385986 -334.528503
-2361.395996 -535.385986 -334.422119
-2361.403076 -535.385986 -334.027008
-2361.406738 -535.385986 -333.519867
-2361.412598 -535.385986 -333.003418
-2361.410400 -535.385986 -332.490448
-2361.415039 -535.385986 -331.984100
-2361.418701 -535.385986 -331.483551
-2361.418701 -535.385986 -331.419586
-2361.415527 -535.385986 -330.974274
-2361.413574 -535.385986 -330.473541
-2361.413574 -535.385986 -329.960571
-2361.412842 -535.385986 -329.456726
-2361.403320 -535.385986 -328.949005
-2361.414063 -535.385986 -328.448639
-2361.414795 -535.385986 -328.423462
-2361.424561 -535.385986 -327.945190
-2361.413086 -535.385986 -327.437866
-2361.418945 -535.385986 -326.931488
-2361.429688 -535.385986 -326.622406
-2361.431396 -535.385986 -326.429993
-2361.435791 -535.385986 -325.926331
-2361.444824 -535.385986 -325.413361
-2361.452148 -535.385986 -324.900024
-2361.455078 -535.385986 -324.394623
-2361.449951 -535.385986 -323.887299
-2361.451660 -535.385986 -323.380157
-2361.451660 -535.385986 -323.149170
-2361.444580 -535.385986 -322.871094
-2361.431641 -535.385986 -322.365112
-2361.430908 -535.385986 -321.861267
-2361.433350 -535.385986 -321.715729
-2361.439453 -535.385986 -321.348694
-2361.432373 -535.385986 -320.840576
-2361.419189 -535.385986 -320.456512
-2361.420166 -535.385986 -320.332275
-2361.430176 -535.385986 -319.829407
-2361.427979 -535.385986 -319.324982
-2361.425293 -535.385986 -319.222290
-2361.416016 -535.385986 -318.822113
-2361.419434 -535.385986 -318.318665
-2361.430420 -535.385986 -318.001434
-2361.437988 -535.385986 -317.815186
-2361.468262 -535.385986 -317.309418
-2361.497070 -535.385986 -316.809235
-2361.505859 -535.385986 -316.755951
-2361.568848 -535.385986 -316.303864
-2361.612549 -535.385986 -315.800598
-2361.640381 -535.385986 -315.628510
-2361.683594 -535.385986 -315.298492
-2361.758789 -535.385986 -314.804718
-2361.818604 -535.385986 -314.504364
-2361.853516 -535.385986 -314.309387
-2361.930908 -535.385986 -313.815826
-2362.007080 -535.385986 -313.459839
-2362.040527 -535.385986 -313.325348
-2362.142822 -535.385986 -312.833710
-2362.253906 -535.385986 -312.338593
-2362.283691 -535.385986 -312.232208
-2362.393066 -535.385986 -311.853729
-2362.555908 -535.385986 -311.377411
-2362.609619 -535.385986 -311.243500
-2362.738037 -535.385986 -310.909424
-2362.967285 -535.385986 -310.462921
-2363.016113 -535.385986 -310.392792
-2363.243164 -535.385986 -310.039703
-2363.524170 -535.385986 -309.629456
-2363.550293 -535.385986 -309.600586
-2363.833740 -535.385986 -309.228882
-2364.167725 -535.385986 -308.855072
-2364.251709 -535.385986 -308.763794
-2364.533936 -535.385986 -308.512268
-2364.917725 -535.385986 -308.183044
-2365.062012 -535.385986 -308.076263
-2365.313477 -535.385986 -307.880524
-2365.724121 -535.385986 -307.593323
-2365.912598 -535.385986 -307.474731
-2366.157227 -535.385986 -307.343170
-2366.616455 -535.385986 -307.140472
-2366.839111 -535.385986 -307.053253
-2367.076172 -535.385986 -306.953247
-2367.195801 -535.385986 -306.921875
1 178
-2367.019531 -533.885986 -306.120941
-2367.015137 -533.885986 -306.126556
-2366.630371 -533.885986 -306.267822
-2366.201172 -533.885986 -306.508514
-2366.131592 -533.885986 -306.554047
-2365.802979 -533.885986 -306.810425
-2365.402832 -533.885986 -307.103455
-2365.356689 -533.885986 -307.147034
-2365.023926 -533.885986 -307.424561
-2364.645752 -533.885986 -307.748352
-2364.637939 -533.885986 -307.756500
-2364.270996 -533.885986 -308.087677
-2363.898193 -533.885986 -308.422729
-2363.828613 -533.885986 -308.497345
-2363.567871 -533.885986 -308.805481
-2363.275879 -533.885986 -309.211456
-2363.239990 -533.885986 -309.277740
-2363.021240 -533.885986 -309.641083
-2362.805176 -533.885986 -310.090851
-2362.776855 -533.885986 -310.157532
-2362.617432 -533.885986 -310.555359
-2362.450928 -533.885986 -311.030914
-2362.339600 -533.885986 -311.370422
-2362.295898 -533.885986 -311.507813
-2362.189697 -533.885986 -312.000824
-2362.097900 -533.885986 -312.468994
-2362.093262 -533.885986 -312.501373
-2362.009277 -533.885986 -312.999603
-2361.913330 -533.885986 -313.496460
-2361.827148 -533.885986 -313.928223
-2361.813721 -533.885986 -313.993927
-2361.730713 -533.885986 -314.492920
-2361.670166 -533.885986 -314.996582
-2361.669189 -533.885986 -315.016541
-2361.644775 -533.885986 -315.498291
-2361.573242 -533.885986 -315.999603
-2361.539063 -533.885986 -316.474396
-2361.538086 -533.885986 -316.504608
-2361.520264 -533.885986 -317.011566
-2361.522217 -533.885986 -317.515594
-2361.517090 -533.885986 -318.020599
-2361.517578 -533.885986 -318.088043
-2361.515381 -533.885986 -318.524841
-2361.515625 -533.885986 -319.031006
-2361.527832 -533.885986 -319.441254
-2361.530518 -533.885986 -319.533875
-2361.540771 -533.885986 -320.036377
-2361.560791 -533.885986 -320.543518
-2361.569580 -533.885986 -320.717346
-2361.558838 -533.885986 -321.043304
-2361.556152 -533.885986 -321.552765
-2361.565918 -533.885986 -321.957397
-2361.568115 -533.885986 -322.061646
-2361.582764 -533.885986 -322.563538
